# Sequence file : ecoli_cds.fasta
# Uncap option is used.

# Sequence_name	Start_pos	End_pos	Stopped_or_skipped	Transit_path_length	Prob_log_score	HT_index
AAC73112.1	1	21	None	20	-72.79293	-3.639646
AAC73113.1	1	820	None	819	-3118.066	-3.807162
AAC73114.1	1	310	None	309	-1178.399	-3.813588
AAC73115.1	1	428	None	427	-1596.613	-3.73914
AAC73116.1	1	98	None	97	-396.6447	-4.08912
AAC73117.1	1	258	None	257	-969.223	-3.771296
AAC73118.1	1	476	None	475	-1847.697	-3.889889
AAC73119.1	1	317	None	316	-1177.187	-3.725274
AAC73120.1	1	195	None	194	-733.4644	-3.780744
AAC73121.1	1	188	None	187	-689.181	-3.68546
AAC73122.1	1	237	None	236	-902.8342	-3.825569
AAC73124.1	1	134	None	133	-509.1127	-3.827915
AAC73125.1	1	638	None	637	-2370.579	-3.721474
AAC73126.1	1	376	None	375	-1446.241	-3.856644
AAC73127.1	1	370	None	369	-1493.565	-4.0476
AAC73129.1	1	69	None	68	-285.637	-4.200544
AAT48122.1	1	50	None	49	-199.2846	-4.067034
AAC73130.1	1	388	None	387	-1485.896	-3.839525
AAC73131.1	1	301	None	300	-1171.307	-3.904357
AAC73132.1	1	167	None	166	-667.7904	-4.022834
AAC73133.1	1	91	None	90	-362.4927	-4.027697
AAC73134.1	1	87	None	86	-338.2287	-3.932892
AAC73135.1	1	72	None	71	-288.9451	-4.069649
AAC73136.1	1	313	None	312	-1198.721	-3.842054
AAC73137.1	1	938	None	937	-3523.085	-3.759962
AAC73138.1	1	164	None	163	-614.6385	-3.770788
AAC73139.1	1	149	None	148	-544.9105	-3.681827
AAC73140.1	1	316	None	315	-1176.705	-3.735572
AAC73141.1	1	304	None	303	-1166.223	-3.84892
AAC73142.1	1	273	None	272	-1029.115	-3.78351
AAC73143.1	1	382	None	381	-1451.644	-3.810089
AAC73144.1	1	1073	None	1072	-3943.722	-3.678845
AAC73145.2	1	131	None	130	-515.6356	-3.966428
AAC73146.2	1	196	None	195	-772.3812	-3.960929
AAC73147.2	1	261	None	260	-950.3313	-3.65512
AAC73148.2	1	517	None	516	-1987.081	-3.850932
AAC73149.1	1	405	None	404	-1519.022	-3.759956
AAC73150.1	1	380	None	379	-1432.376	-3.779356
AAC73151.1	1	504	None	503	-1935.952	-3.848812
AAC73152.2	1	256	None	255	-946.9841	-3.713663
AAC73153.1	1	313	None	312	-1163.224	-3.728281
AAC73154.1	1	428	None	427	-1602.911	-3.75389
AAC73155.1	1	95	None	94	-353.9805	-3.76575
AAC73156.1	1	443	None	442	-1676.403	-3.792766
AAC73157.1	1	176	None	175	-667.9373	-3.816784
AAC73158.1	1	620	None	619	-2277.612	-3.679502
AAC73159.1	1	159	None	158	-598.0091	-3.784867
AAC73160.1	1	280	None	279	-1055.51	-3.783189
AAC73161.1	1	125	None	124	-492.3316	-3.970416
AAC73162.1	1	273	None	272	-1042.232	-3.831735
AAC73163.1	1	329	None	328	-1251.497	-3.81554
AAC73164.1	1	428	None	427	-1592.098	-3.728567
AAC73165.1	1	784	None	783	-3055.841	-3.902734
AAC73166.1	1	271	None	270	-1010.947	-3.744249
AAC73169.1	1	219	None	218	-826.9696	-3.793439
AAC73170.1	1	968	None	967	-3552.733	-3.673974
AAC73171.1	1	783	None	782	-2971.792	-3.800245
AAC73172.1	1	231	None	230	-866.7161	-3.768331
AAC73173.1	1	500	None	499	-1867.334	-3.742153
AAC73174.1	1	566	None	565	-2131.857	-3.773199
AAC73175.1	1	292	None	291	-1128.809	-3.87907
AAC73176.1	1	254	None	253	-934.6161	-3.694135
AAC73177.1	1	232	None	231	-879.1512	-3.805849
AAC73178.1	1	536	None	535	-1987.649	-3.715231
AAC73179.1	1	327	None	326	-1218.816	-3.738698
AAC73180.1	1	551	None	550	-2105.041	-3.827348
ACO59989.1	1	43	None	42	-165.9257	-3.950612
AAT48123.1	1	392	None	391	-1524.154	-3.898092
AAC73182.1	1	201	None	200	-742.281	-3.711405
AAC73183.1	1	466	None	465	-1729.597	-3.719563
AAC73184.2	1	363	None	362	-1356.314	-3.746723
AAC73185.1	1	523	None	522	-1958.87	-3.752624
AAC73186.1	1	28	None	27	-115.356	-4.272445
AAC73187.2	1	314	None	313	-1235.692	-3.947897
AAC73188.2	1	574	None	573	-2233.077	-3.897168
AAC73189.1	1	163	None	162	-623.8679	-3.851036
AAC73191.1	1	334	None	333	-1263.898	-3.79549
AAC73192.1	1	152	None	151	-603.2932	-3.99532
AAC73193.1	1	313	None	312	-1182.848	-3.791179
AAC73194.1	1	121	None	120	-475.3299	-3.961082
AAC73195.1	1	588	None	587	-2244.044	-3.822903
AAC73196.1	1	495	None	494	-1860.557	-3.766309
AAC73197.1	1	452	None	451	-1693.637	-3.755292
AAC73198.1	1	360	None	359	-1355.097	-3.774644
AAC73199.1	1	438	None	437	-1632.588	-3.735899
AAC73200.1	1	414	None	413	-1551.96	-3.757771
AAC73201.1	1	355	None	354	-1353.157	-3.822478
AAC73202.1	1	491	None	490	-1847.652	-3.770719
AAC73203.1	1	306	None	305	-1184.394	-3.883259
AAC73204.1	1	276	None	275	-1059.063	-3.851138
AAC73205.1	1	420	None	419	-1627.689	-3.8847
AAC73206.1	1	383	None	382	-1442.168	-3.77531
AAC73207.1	1	305	None	304	-1178.029	-3.875095
AAC73208.2	1	170	None	169	-666.5667	-3.944182
AAC73209.1	1	901	None	900	-3347.672	-3.719636
AAC73210.1	1	129	None	128	-483.9149	-3.780585
AAC73212.1	1	65	None	64	-257.404	-4.021937
AAC73213.1	1	247	None	246	-932.0792	-3.78894
AAC73214.1	1	206	None	205	-789.824	-3.8528
AAC73215.1	1	347	None	346	-1323.873	-3.826222
AAC73217.1	1	400	None	399	-1535.865	-3.849287
AAC73218.1	1	461	None	460	-1808.796	-3.932164
AAC73219.1	1	146	None	145	-556.6165	-3.838735
AAC73220.1	1	297	None	296	-1126.161	-3.804599
AAC73221.1	1	183	None	182	-714.1899	-3.924121
AAC73222.1	1	284	None	283	-1084.717	-3.832922
AAC73223.1	1	457	None	456	-1709.324	-3.748518
AAC73224.1	1	254	None	253	-983.561	-3.887593
AAC73225.1	1	887	None	886	-3327.217	-3.755324
AAC73226.1	1	630	None	629	-2338.802	-3.718286
AAC73227.1	1	474	None	473	-1756.552	-3.71364
AAC73228.1	1	617	None	616	-2451.732	-3.980084
AAC73229.1	1	865	None	864	-3229.121	-3.737409
AAC73230.2	1	120	None	119	-453.4005	-3.810088
AAC73231.1	1	264	None	263	-998.4198	-3.796273
AAC73232.1	1	288	None	287	-1098.66	-3.828083
AAC73233.2	1	115	None	114	-446.2462	-3.914441
AAC73234.1	1	516	None	515	-1928.762	-3.745168
AAC73235.1	1	796	None	795	-2993.186	-3.765014
AAC73236.2	1	178	None	177	-656.8375	-3.710946
AAC73237.1	1	220	None	219	-846.3239	-3.864493
AAC73238.1	1	308	None	307	-1155.634	-3.76428
AAC73239.1	1	256	None	255	-962.2512	-3.773534
AAC73240.1	1	146	None	145	-580.6036	-4.004163
AAC73241.1	1	409	None	408	-1594.05	-3.906985
AAC73242.1	1	126	None	125	-474.966	-3.799728
AAC73243.1	1	300	None	299	-1181.849	-3.952672
AAC73244.1	1	283	None	282	-1046.916	-3.712467
AAC73245.1	1	264	None	263	-989.1464	-3.761013
AAC73246.1	1	412	None	411	-1725.958	-4.19941
AAC73247.1	1	198	None	197	-814.8503	-4.136296
AAC73248.1	1	201	None	200	-817.3386	-4.086693
AAC73249.2	1	189	None	188	-774.6106	-4.120269
AAC73250.1	1	865	None	864	-3459.753	-4.004344
AAC73251.1	1	246	None	245	-984.6084	-4.01881
